Country,Latest_Phase,Return_12m,Return_18m,Return_2Yr,Return_3Yr,Return_5Yr,Volatility_12m,Volatility_18m,Volatility_2Yr,Volatility_3Yr,Volatility_5Yr,SR_12m,SR_18m,SR_2Yr,SR_3Yr,SR_5Yr
Australia,recovery,12.6181,11.4061,10.9064,10.8589,11.6312,11.1109,9.2071,8.2335,5.2805,2.1969,1.135650577,1.238837419,1.324637153,2.056415112,5.294369339
Austria,recovery,2.2091,2.3631,2.249,5.6795,5.5035,17.293,12.7721,9.847,6.776,5.3581,0.12774533,0.185020474,0.228394435,0.838178867,1.027136485
Belgium,contraction,8.7083,9.9535,10.9268,10.5733,10.2518,19.8212,15.2143,12.5641,10.8612,7.3064,0.439342724,0.654220043,0.869684259,0.9734928,1.403126026
Brazil,recovery,28.2861,26.2675,22.9252,17.6278,19.4874,34.3514,22.6409,17.7932,14.0259,12.1315,0.823433688,1.160179145,1.288424791,1.256803485,1.606347113
Canada,contraction,7.5894,10.0292,10.2988,8.853,8.6746,14.3345,11.4924,11.6992,7.636,6.0337,0.529449928,0.872681076,0.880299508,1.159376637,1.437691632
China,slowdown,-0.1236,0.2265,0.8657,4.4069,3.4675,25.1948,23.407,18.5433,13.1492,8.1234,-0.004905774,0.009676592,0.046685326,0.335145864,0.426853288
Czech Republic,recovery,8.8192,8.0468,7.4887,7.7285,8.0948,14.7576,13.8453,13.3438,11.6395,10.6376,0.597603946,0.581193618,0.561211949,0.663989003,0.760961119
Denmark,recovery,11.215,10.3484,9.6581,9.0611,6.9781,14.4942,13.2269,12.9879,9.7401,4.7183,0.773757779,0.782375311,0.743622911,0.93028819,1.478943687
Finland,contraction,7.5336,9.2628,10.1839,13.166,13.5419,45.0198,36.8777,24.7961,15.6474,14.2845,0.167339704,0.251176185,0.410705716,0.841417744,0.948013581
France,recovery,13.9979,13.4715,12.4689,12.8615,12.4052,17.5802,13.9855,10.8824,9.8623,3.6403,0.796230987,0.963247649,1.145785856,1.304107561,3.40774112
Germany,recovery,17.8054,17.1847,15.4879,13.5272,11.7587,20.9861,14.6115,10.0166,8.4134,6.3315,0.848437775,1.17610786,1.546223269,1.607816103,1.857174445
Hungary,recovery,34.9129,31.8371,25.7942,16.8243,11.1669,51.7189,46.9165,39.1655,20.9315,13.5613,0.675051094,0.678590688,0.658594937,0.803778993,0.823438756
Italy,contraction,12.3591,15.1353,14.4005,11.7568,8.3191,26.1785,23.5072,19.8589,14.0333,9.0037,0.472108792,0.643858052,0.725140869,0.837778712,0.923964592
Japan,recovery,5.3036,4.1971,2.9033,2.2855,2.3501,23.2251,15.6756,10.2298,9.4149,6.105,0.22835639,0.267747327,0.28380809,0.242753508,0.384946765
Mexico,recovery,31.0781,25.0575,21.5933,19.3336,18.2931,33.0347,24.0742,20.3863,14.5105,11.0546,0.940771371,1.040844556,1.059206428,1.332386892,1.654795289
Netherlands,recovery,4.6301,3.8421,4.118,4.1038,4.5283,17.5491,15.1999,13.1128,8.7631,5.8904,0.263836892,0.2527714,0.314044293,0.468304595,0.768759337
Norway,contraction,3.0767,5.7248,6.7973,6.7178,7.3089,19.4648,15.667,12.7345,8.8245,6.0919,0.158064814,0.365404991,0.533770466,0.761266927,1.19977347
Philippines,contraction,4.091,0.5767,0.591,6.3367,15.896,22.0793,17.4256,15.6001,15.1418,10.5984,0.185286671,0.033094987,0.037884373,0.418490536,1.499849034
Poland,contraction,-2.393,0.6945,1.1784,3.907,6.5021,19.2066,13.4512,12.5499,7.4546,5.773,-0.124592588,0.051631081,0.093897163,0.524105921,1.126294821
Portugal,recovery,3.1064,3.3003,4.7082,5.6701,3.9992,16.3616,13.1645,11.5931,11.1726,6.5122,0.189859182,0.25069695,0.406120882,0.507500492,0.614108903
Russia,recovery,66.098,47.9943,36.8982,27.1746,26.0066,90.8735,65.0192,47.3217,24.8414,23.5068,0.727362763,0.738155806,0.779731075,1.093923853,1.106343696
South Africa,expansion,12.6131,11.758,10.6393,9.3367,8.659,15.9604,13.1911,11.4756,9.2486,6.6117,0.79027468,0.891358568,0.927123636,1.009525766,1.309648048
Spain,recovery,15.6619,13.4539,13.3078,10.9686,14.2176,23.489,20.8232,15.7312,11.1899,7.7783,0.666775938,0.646101464,0.845949451,0.980223237,1.827854415
Sweden,recovery,20.7343,17.9306,17.3439,18.4009,16.795,33.8266,22.4737,14.8563,10.9179,6.825,0.612958441,0.797848151,1.167444115,1.685388216,2.460805861
Switzerland,recovery,18.5406,16.1578,14.9109,14.3567,14.6695,18.2718,12.9127,9.8519,7.1088,8.3852,1.014711194,1.251310725,1.513505009,2.019567297,1.749451414
Thailand,recovery,3.1738,7.6783,12.7462,10.9985,13.2641,30.5119,24.4564,17.1018,13.2591,7.4676,0.104018432,0.313958718,0.745313359,0.829505773,1.776219937
Turkey,slowdown,47.9069,42.206,45.147,38.2537,34.9041,105.8409,64.2351,65.5743,48.7601,47.7415,0.452631261,0.657055099,0.68848619,0.784528744,0.731106061
United Kingdom,recovery,13.8798,13.5642,12.5276,10.34,11.2282,15.3619,9.2814,8.3845,6.163,5.137,0.903521049,1.461439007,1.494137993,1.67775434,2.185750438
United States,recovery,15.681,15.4406,14.5241,14.1383,14.5001,16.8949,12.8831,11.4444,7.6615,4.4255,0.928149915,1.198515885,1.269101045,1.845369706,3.276488532
