Date,Mean,Sharp Ratio,Standard.Deviation
2/28/2006,0.0717,0.662049861,0.1083
3/31/2006,0.0717,0.662049861,0.1083
4/30/2006,0.0692,0.496057348,0.1395
5/31/2006,0.0692,0.496057348,0.1395
6/30/2006,0.0693,0.496774194,0.1395
7/31/2006,0.0693,0.496774194,0.1395
8/31/2006,0.0693,0.496774194,0.1395
9/30/2006,0.0693,0.496774194,0.1395
10/31/2006,0.0717,0.662049861,0.1083
11/30/2006,0.0717,0.662049861,0.1083
12/31/2006,0.0717,0.662049861,0.1083
1/31/2007,0.0693,0.496774194,0.1395
2/28/2007,0.0692,0.496057348,0.1395
3/31/2007,0.0615,0.451210565,0.1363
4/30/2007,0.0717,0.662049861,0.1083
5/31/2007,0.0717,0.662049861,0.1083
6/30/2007,0.0717,0.662049861,0.1083
7/31/2007,0.0646,0.620557157,0.1041
8/31/2007,0.0566,0.57814096,0.0979
9/30/2007,0.0487,0.530501089,0.0918
10/31/2007,0.0252,0.219130435,0.115
11/30/2007,0.0173,0.154740608,0.1118
12/31/2007,0.0066,0.063829787,0.1034
1/31/2008,0.0066,0.063891578,0.1033
2/29/2008,0.0066,0.063829787,0.1034
3/31/2008,0.0066,0.063829787,0.1034
4/30/2008,0.0204,0.358523726,0.0569
5/31/2008,0.0204,0.358523726,0.0569
6/30/2008,0.0204,0.358523726,0.0569
7/31/2008,0.0066,0.063891578,0.1033
8/31/2008,0.0077,0.076237624,0.101
9/30/2008,0.0083,0.084093212,0.0987
10/31/2008,0.0095,0.098241986,0.0967
11/30/2008,0.0081,0.085623679,0.0946
12/31/2008,0.0057,0.059811123,0.0953
1/31/2009,0.0083,0.123880597,0.067
2/28/2009,0.0058,0.08774584,0.0661
3/31/2009,0.0047,0.06921944,0.0679
4/30/2009,0.0047,0.06921944,0.0679
5/31/2009,0.0047,0.06921944,0.0679
6/30/2009,0.0047,0.06921944,0.0679
7/31/2009,0.0047,0.06921944,0.0679
8/31/2009,0.0047,0.06921944,0.0679
9/30/2009,0.0025,0.037091988,0.0674
10/31/2009,0.0003,0.004477612,0.067
11/30/2009,-0.0012,-0.018126888,0.0662
12/31/2009,-0.0011,-0.016641452,0.0661
1/31/2010,-0.0011,-0.016641452,0.0661
2/28/2010,0.0405,0.472578763,0.0857
3/31/2010,0.0365,0.421965318,0.0865
4/30/2010,0.0365,0.421965318,0.0865
5/31/2010,0.0365,0.421965318,0.0865
6/30/2010,0.0365,0.421965318,0.0865
7/31/2010,0.0365,0.421965318,0.0865
8/31/2010,0.0365,0.421965318,0.0865
9/30/2010,0.0365,0.421965318,0.0865
10/31/2010,0.0355,0.423627685,0.0838
11/30/2010,0.0355,0.423627685,0.0838
12/31/2010,0.0355,0.423627685,0.0838
1/31/2011,0.0355,0.423627685,0.0838
2/28/2011,0.0355,0.423627685,0.0838
3/31/2011,0.0355,0.423627685,0.0838
4/30/2011,0.0355,0.423627685,0.0838
5/31/2011,0.0377,0.446682464,0.0844
6/30/2011,0.0411,0.488703924,0.0841
7/31/2011,0.0448,0.536526946,0.0835
8/31/2011,0.0505,0.62967581,0.0802
9/30/2011,0.0571,0.763368984,0.0748
10/31/2011,0.0639,0.92877907,0.0688
11/30/2011,0.0604,0.581888247,0.1038
12/31/2011,0.0604,0.581888247,0.1038
1/31/2012,0.0603,0.580365736,0.1039
2/29/2012,0.0604,0.581888247,0.1038
3/31/2012,0.0603,0.580924855,0.1038
4/30/2012,0.0802,1.747276688,0.0459
5/31/2012,0.0802,1.747276688,0.0459
6/30/2012,0.0802,1.747276688,0.0459
7/31/2012,0.1115,5.899470899,0.0189
8/31/2012,0.1115,5.899470899,0.0189
9/30/2012,0.1115,5.899470899,0.0189
10/31/2012,0.1115,5.899470899,0.0189
11/30/2012,0.0059,0.074968234,0.0787
12/31/2012,0.0082,0.104060914,0.0788
1/31/2013,0.0082,0.104060914,0.0788
