,Date,Z1,Z2,Z3,Z4,Z5,Z_Composite,phase,Return
2/28/1994,2/28/1994,2.6607092,1.857432547,1.552273097,1.149843732,1.001482763,1.644348268,slowdown,0.025985466
3/31/1994,3/31/1994,2.598608337,1.56893134,0.805811377,1.394993209,1.187703156,1.511209484,slowdown,-0.027068279
4/30/1994,4/30/1994,2.544875972,1.661637531,0.633825177,1.61812637,1.389050742,1.569503158,expansion,-0.041474654
5/31/1994,5/31/1994,2.52864628,1.557665696,1.435469902,2.228222101,1.712640335,1.892528863,expansion,0.019077332
6/30/1994,6/30/1994,2.512194317,1.308154525,1.543240246,2.076923077,1.824853624,1.853073158,slowdown,0.001154329
7/31/1994,7/31/1994,2.495899963,1.003080149,1.455383494,1.96162713,1.633735678,1.709945283,slowdown,-0.024238019
8/31/1994,8/31/1994,2.451874283,1.326549694,1.926055005,2.047343832,1.407872287,1.83193902,expansion,0.032572118
9/30/1994,9/30/1994,2.350849758,1.275533954,1.762880334,2.112608519,1.661653331,1.832705179,expansion,0.03482847
10/31/1994,10/31/1994,2.18754442,1.307104196,1.583184137,2.162027079,1.682555406,1.784483048,slowdown,-0.01841479
11/30/1994,11/30/1994,1.963122288,0.962859032,1.059467049,2.345464322,1.563432061,1.578868951,slowdown,0.015429453
12/31/1994,12/31/1994,1.669250402,1.255196032,0.227755131,2.282888372,0.640247981,1.215067584,slowdown,-0.035286173
1/31/1995,1/31/1995,1.326537641,1.587551296,0.161615266,1.887939645,0.998180025,1.192364775,slowdown,0.022176109
2/28/1995,2/28/1995,0.982050799,1.243211439,1.095907762,2.022147428,0.083650427,1.085393571,slowdown,0.02485019
3/31/1995,3/31/1995,0.678948278,0.41661212,1.425275799,1.883139041,-0.844601084,0.711874831,slowdown,0.032147204
4/30/1995,4/30/1995,0.327720128,0.567638171,1.449317027,1.180152715,-1.034330556,0.498099497,slowdown,0.031053459
5/31/1995,5/31/1995,0.038809061,0.095931967,1.230523409,1.387990321,-2.221839496,0.106283053,slowdown,0.024758359
6/30/1995,6/30/1995,-0.019251219,0.466356089,1.049637238,1.414898719,-2.268547574,0.128618651,expansion,0.038647554
