,Date,Index,Z_Score,phase
0,1964-06-30,100.5011,0.12375450453805004,slowdown
1,1964-07-31,100.4775,0.07787315454182735,slowdown
2,1964-08-31,100.44,0.008006848817954396,slowdown
3,1964-09-30,100.3979,-0.05346607357075394,contraction
4,1964-10-31,100.3533,-0.12570962815963987,contraction
5,1964-11-30,100.3195,-0.16613538916649995,contraction
6,1964-12-31,100.3006,-0.17148288613338392,contraction
7,1965-01-31,100.288,-0.19845195746844757,contraction
8,1965-02-28,100.2669,-0.20609725096708498,contraction
9,1965-03-31,100.2239,-0.25633569169080084,contraction
10,1965-04-30,100.1588,-0.4500737324282487,contraction
11,1965-05-31,100.0881,-0.6646342516104737,contraction
12,1965-06-30,100.0336,-0.8455301923086236,contraction
13,1965-07-31,100.0171,-0.9341628254615292,contraction
14,1965-08-31,100.0495,-0.8872346313208339,recovery
15,1965-09-30,100.1316,-0.6650286870323829,recovery
16,1965-10-31,100.2542,-0.23264427703235654,recovery
17,1965-11-30,100.3999,0.29796902355378807,expansion
18,1965-12-31,100.55,0.995360605035864,expansion
19,1966-01-31,100.6721,1.6044535036856191,expansion
20,1966-02-28,100.7405,1.8951167259693587,expansion
21,1966-03-31,100.7359,1.8070215242918684,slowdown
22,1966-04-30,100.6466,1.2137263876194826,slowdown
23,1966-05-31,100.4782,0.2240135323268029,slowdown
24,1966-06-30,100.2568,-0.9572034886813733,contraction
25,1966-07-31,100.0018,-2.190674486903141,contraction
26,1966-08-31,99.73459,-3.0435499953817535,contraction
27,1966-09-30,99.47794,-3.4354823985975624,contraction
28,1966-10-31,99.24266,-3.5116164081232584,contraction
29,1966-11-30,99.04529000000001,-3.3729592368262873,recovery
30,1966-12-31,98.89678,-3.1905086396349644,recovery
31,1967-01-31,98.80908000000001,-2.9810729633699737,recovery
32,1967-02-28,98.77991,-2.7451069002955126,recovery
33,1967-03-31,98.81553000000001,-2.4824319689193315,recovery
34,1967-04-30,98.91245,-2.2072142515784705,recovery
35,1967-05-31,99.06213000000001,-1.8880334722524883,recovery
36,1967-06-30,99.24502,-1.5046608058801718,recovery
37,1967-07-31,99.44592,-1.1137758194426681,recovery
38,1967-08-31,99.64936999999999,-0.7390155725078685,recovery
39,1967-09-30,99.83778000000001,-0.37422088504999634,recovery
40,1967-10-31,99.99543,-0.07530165441426052,recovery
41,1967-11-30,100.1131,0.1174560150166688,expansion
42,1967-12-31,100.1911,0.24628298717413824,expansion
43,1968-01-31,100.2366,0.3217201851823446,expansion
44,1968-02-29,100.2701,0.3769382152949559,expansion
45,1968-03-31,100.3098,0.4412400433628198,expansion
46,1968-04-30,100.3694,0.5358649333100879,expansion
47,1968-05-31,100.4492,0.6592700143205987,expansion
48,1968-06-30,100.55,0.7465746135269593,expansion
49,1968-07-31,100.6795,0.8692933298037538,expansion
50,1968-08-31,100.8328,1.0195432431428237,expansion
51,1968-09-30,100.9959,1.1481278424569978,expansion
52,1968-10-31,101.1458,1.3168377995207055,expansion
53,1968-11-30,101.2568,1.417411393335478,expansion
54,1968-12-31,101.3178,1.4478097762358737,expansion
55,1969-01-31,101.3379,1.4298329863877484,slowdown
56,1969-02-28,101.3308,1.3844193532957731,slowdown
57,1969-03-31,101.2955,1.3107528991982098,slowdown
58,1969-04-30,101.2296,1.2061803688274932,slowdown
59,1969-05-31,101.1231,1.060816436697596,slowdown
60,1969-06-30,100.9864,0.8889648218264803,slowdown
61,1969-07-31,100.836,0.6648251364008813,slowdown
62,1969-08-31,100.6861,0.4514497187420142,slowdown
63,1969-09-30,100.5367,0.22635557983586396,slowdown
64,1969-10-31,100.3819,0.007310938906889627,slowdown
65,1969-11-30,100.2195,-0.18820462409561597,contraction
66,1969-12-31,100.0492,-0.40996243932958965,contraction
67,1970-01-31,99.87135,-0.6655656873575152,contraction
68,1970-02-28,99.69193,-0.9520394547934152,contraction
69,1970-03-31,99.51388,-1.2605891159395002,contraction
70,1970-04-30,99.34376,-1.5624803245106542,contraction
71,1970-05-31,99.19686,-1.8052978529201038,contraction
72,1970-06-30,99.07979,-1.9579168151489703,contraction
73,1970-07-31,98.98349,-2.032462038125494,contraction
74,1970-08-31,98.9081,-2.0437172954931753,contraction
75,1970-09-30,98.86208,-2.0021465016263638,recovery
76,1970-10-31,98.86073,-1.9093924868197985,recovery
77,1970-11-30,98.92241999999999,-1.7596547155696112,recovery
78,1970-12-31,99.04254,-1.5666210519451822,recovery
79,1971-01-31,99.18714,-1.3678103609056267,recovery
80,1971-02-28,99.32463,-1.1925429204203222,recovery
81,1971-03-31,99.43425,-1.0579168828861667,recovery
82,1971-04-30,99.51204,-0.8805865038264987,recovery
83,1971-05-31,99.55962,-0.6392654627677288,recovery
84,1971-06-30,99.58598,-0.4158690451642389,recovery
85,1971-07-31,99.60558,-0.19614174268761395,recovery
86,1971-08-31,99.63101999999999,-0.03420940171027321,recovery
87,1971-09-30,99.69081,0.03412742070745455,expansion
88,1971-10-31,99.81049,0.1752477704141865,expansion
89,1971-11-30,100.0042,0.4167448184160949,expansion
90,1971-12-31,100.26899999999999,0.7691516156781283,expansion
91,1972-01-31,100.5702,1.196299099217913,expansion
92,1972-02-29,100.8776,1.647380478362983,expansion
93,1972-03-31,101.1738,2.0667478484830917,expansion
94,1972-04-30,101.4486,2.4008160120197615,expansion
95,1972-05-31,101.7005,2.6209931968859177,expansion
96,1972-06-30,101.9347,2.735391500585264,expansion
97,1972-07-31,102.1677,2.782471462842238,expansion
98,1972-08-31,102.4176,2.7999803430744676,expansion
99,1972-09-30,102.6764,2.7946909756558242,slowdown
100,1972-10-31,102.9282,2.767475224250343,slowdown
101,1972-11-30,103.15,2.716033486685686,slowdown
102,1972-12-31,103.3154,2.6376995659992404,slowdown
103,1973-01-31,103.40299999999999,2.532958791866329,slowdown
104,1973-02-28,103.3779,2.392113560100433,slowdown
105,1973-03-31,103.2734,2.185399995564861,slowdown
106,1973-04-30,103.0998,1.93470045635887,slowdown
107,1973-05-31,102.8806,1.6443741547343278,slowdown
108,1973-06-30,102.6389,1.3292842698960237,slowdown
109,1973-07-31,102.39,1.006971315225109,slowdown
110,1973-08-31,102.1435,0.6875048495392329,slowdown
111,1973-09-30,101.8964,0.3690282460034208,slowdown
112,1973-10-31,101.645,0.06387404646103835,slowdown
113,1973-11-30,101.3722,-0.11756350704837085,contraction
114,1973-12-31,101.0821,-0.3240047220760001,contraction
115,1974-01-31,100.7899,-0.5449927880045762,contraction
116,1974-02-28,100.4889,-0.7825114221780582,contraction
117,1974-03-31,100.1643,-1.0424774236337515,contraction
118,1974-04-30,99.80753,-1.3230306595855794,contraction
119,1974-05-31,99.41526999999999,-1.6138005061670158,contraction
120,1974-06-30,98.98615,-1.898585502735373,contraction
121,1974-07-31,98.52646,-2.154552430369153,contraction
122,1974-08-31,98.04307,-2.3635018057993293,contraction
123,1974-09-30,97.55856,-2.5077303090432737,contraction
124,1974-10-31,97.11665,-2.57373424972905,contraction
125,1974-11-30,96.76222,-2.563248365241959,recovery
126,1974-12-31,96.53676999999999,-2.486561544680981,recovery
127,1975-01-31,96.47173000000001,-2.3564763768592827,recovery
128,1975-02-28,96.55669,-2.1944172968000997,recovery
129,1975-03-31,96.76884,-2.015503380186024,recovery
130,1975-04-30,97.07874,-1.814323828274357,recovery
131,1975-05-31,97.45145,-1.5177344175955347,recovery
132,1975-06-30,97.85797,-1.225801325865022,recovery
133,1975-07-31,98.27804,-0.9393491947336261,recovery
134,1975-08-31,98.69901999999999,-0.6516060438888709,recovery
135,1975-09-30,99.11724,-0.3525057323321789,recovery
136,1975-10-31,99.52158,-0.05920987817944355,recovery
137,1975-11-30,99.90337,0.10158000771763713,expansion
138,1975-12-31,100.2549,0.25937081824521196,expansion
139,1976-01-31,100.557,0.4067929479331301,expansion
140,1976-02-29,100.7916,0.5341246790917157,expansion
141,1976-03-31,100.9533,0.6352162317725615,expansion
142,1976-04-30,101.0494,0.7088842127554211,expansion
143,1976-05-31,101.0864,0.7537947658217697,expansion
144,1976-06-30,101.0754,0.771997800552564,expansion
145,1976-07-31,101.0282,0.7673228048239634,slowdown
146,1976-08-31,100.9552,0.7441340426153462,slowdown
147,1976-09-30,100.8752,0.7125063366132659,slowdown
148,1976-10-31,100.8077,0.683879775699525,slowdown
149,1976-11-30,100.766,0.6664342701382149,slowdown
150,1976-12-31,100.7441,0.6570574102508175,slowdown
151,1977-01-31,100.7266,0.6470625952403102,slowdown
152,1977-02-28,100.7031,0.630814603923358,slowdown
153,1977-03-31,100.6689,0.6063128544600738,slowdown
154,1977-04-30,100.6209,0.5440968800621778,slowdown
155,1977-05-31,100.5712,0.29233748773757645,slowdown
156,1977-06-30,100.5275,0.08045669935540914,slowdown
157,1977-07-31,100.5025,-0.007360473791894219,contraction
158,1977-08-31,100.5022,-0.007569990640783832,contraction
159,1977-09-30,100.5254,-0.0006300800644478872,contraction
160,1977-10-31,100.5656,0.014413118519812576,expansion
161,1977-11-30,100.6146,0.03441730628765146,expansion
162,1977-12-31,100.6733,0.07222683674592528,expansion
163,1978-01-31,100.7452,0.11405071983000596,expansion
164,1978-02-28,100.8365,0.18172015496202865,expansion
