,Date,Index,Z_Score,threshold,MA,phase
0,1964-12-31,100.3006,-0.17148288613338392,0,-0.02083544919013567,contraction
1,1965-01-31,100.288,-0.19845195746844757,0,-0.06320142832511169,contraction
2,1965-02-28,100.2669,-0.20609725096708498,0,-0.10443289776325357,contraction
3,1965-03-31,100.2239,-0.25633569169080084,0,-0.1462090035423321,contraction
4,1965-04-30,100.1588,-0.4500737324282487,0,-0.20346907619810747,contraction
5,1965-05-31,100.0881,-0.6646342516104737,0,-0.27986509845307245,contraction
6,1965-06-30,100.0336,-0.8455301923086236,0,-0.36984266897169543,contraction
7,1965-07-31,100.0171,-0.9341628254615292,0,-0.46584609850857406,contraction
8,1965-08-31,100.0495,-0.8872346313208339,0,-0.5553150666570054,contraction
9,1965-09-30,100.1316,-0.6650286870323829,0,-0.6136371578524973,contraction
10,1965-10-31,100.2542,-0.23264427703235654,0,-0.6169555361106562,contraction
11,1965-11-30,100.3999,0.29796902355378807,0,-0.5476674467050826,recovery
12,1965-12-31,100.55,0.995360605035864,0,-0.3669881545220685,recovery
13,1966-01-31,100.6721,1.6044535036856191,0,-0.0833521851100569,recovery
14,1966-02-28,100.7405,1.8951167259693587,0,0.2592286796746909,expansion
15,1966-03-31,100.7359,1.8070215242918684,0,0.6018767233938656,expansion
16,1966-04-30,100.6466,1.2137263876194826,0,0.8644968507614051,expansion
17,1966-05-31,100.4782,0.2240135323268029,0,0.9756271281813034,expansion
18,1966-06-30,100.2568,-0.9572034886813733,0,0.8850572267251763,slowdown
19,1966-07-31,100.0018,-2.190674486903141,0,0.5739767879180602,slowdown
20,1966-08-31,99.73459,-3.0435499953817535,0,0.06911296286585798,slowdown
21,1966-09-30,99.47794,-3.4354823985975624,0,-0.5608790249195397,contraction
22,1966-10-31,99.24266,-3.5116164081232584,0,-1.2367206666811168,contraction
23,1966-11-30,99.04529000000001,-3.3729592368262873,0,-1.8842182618208865,contraction
24,1966-12-31,98.89678,-3.1905086396349644,0,-2.434747640227692,contraction
25,1967-01-31,98.80908000000001,-2.9810729633699737,0,-2.8353834521897894,contraction
26,1967-02-28,98.77991,-2.7451069002955126,0,-3.058871378641557,contraction
