,Country,Year,Mean,Standard.Deviation
0,JAPAN,0.5,15.6005,35.9511
1,JAPAN,1.0,9.5367,23.1522
2,JAPAN,1.5,5.8886,17.2139
3,JAPAN,2.0,5.9872,13.1317
4,JAPAN,2.5,4.1896,11.7725
5,JAPAN,3.0,2.295,9.0278
6,JAPAN,3.5,1.8135,7.4358
7,JAPAN,4.0,1.37,8.1426
8,JAPAN,4.5,1.3484,8.2689
9,JAPAN,5.0,1.624,8.4791
10,JAPAN,5.5,2.188,7.5206
11,JAPAN,6.0,2.7022,7.0615
12,JAPAN,6.5,2.499,5.7146
13,JAPAN,7.0,2.439,5.1181
14,JAPAN,7.5,2.2765,4.6724
15,JAPAN,8.0,2.0153,4.705
16,JAPAN,8.5,2.4886,4.5373
17,JAPAN,9.0,1.8517,4.7645
18,JAPAN,9.5,1.0386,4.4089
19,JAPAN,10.0,0.6347,3.8005
20,US,0.5,7.5291,25.1785
21,US,1.0,5.716,20.1506
22,US,1.5,5.8881,17.0631
23,US,2.0,6.2743,14.9192
24,US,2.5,6.1192,11.9845
25,US,3.0,6.5794,10.5695
26,US,3.5,6.908,9.3883
27,US,4.0,8.0072,8.7
28,US,4.5,8.4859,8.6297
29,US,5.0,8.6099,7.3098
30,US,5.5,8.7219,6.4961
31,US,6.0,8.1778,5.5475
32,US,6.5,7.0985,5.5389
33,US,7.0,6.0272,5.5383
34,US,7.5,5.4046,5.4671
35,US,8.0,5.5841,5.3156
36,US,8.5,6.0029,4.9337
37,US,9.0,5.9934,4.6504
38,US,9.5,6.0333,4.2116
39,US,10.0,6.2362,3.852
40,UK,0.5,7.7108,24.1228
41,UK,1.0,7.4433,14.4729
42,UK,1.5,3.4892,14.3293
43,UK,2.0,2.5259,13.0082
44,UK,2.5,2.9992,8.7859
45,UK,3.0,2.9064,6.7639
46,UK,3.5,2.3493,6.0649
47,UK,4.0,1.964,5.697
48,UK,4.5,1.4394,5.8505
49,UK,5.0,1.6662,5.9126
50,UK,5.5,2.246,5.2195
51,UK,6.0,2.7878,4.3083
52,UK,6.5,2.7405,3.5866
53,UK,7.0,2.7588,3.2099
54,UK,7.5,2.739,3.3939
55,UK,8.0,3.0023,3.3419
56,UK,8.5,3.2884,2.8069
57,UK,9.0,3.1579,2.5495
58,UK,9.5,2.8983,2.5497
59,UK,10.0,2.8883,2.1871
60,GERMANY,0.5,16.329,31.6028
61,GERMANY,1.0,12.6821,24.5838
62,GERMANY,1.5,12.8178,18.2879
63,GERMANY,2.0,11.3026,13.8027
64,GERMANY,2.5,8.4345,10.9587
65,GERMANY,3.0,8.6665,9.9831
66,GERMANY,3.5,9.1191,11.5475
67,GERMANY,4.0,9.4245,11.7752
68,GERMANY,4.5,9.0417,9.8711
69,GERMANY,5.0,8.2452,8.2187
70,GERMANY,5.5,6.5993,6.8432
