,Return,APINFLATION,APRGDP,phase_GDP,phase_INFLATION,phase,Date
1994-02-28,2.598546575644134,3.2809295967188836,3.8808651112485464,High,High,HighHigh,1994-02-28
1994-03-31,-2.706827883904517,3.2719836400818463,3.8808651112485464,High,High,HighHigh,1994-03-31
1994-04-30,-4.147465437788012,0.8157715839564459,3.8808651112485464,High,Low,HighLow,1994-04-30
1994-05-31,1.9077332242225742,2.4456521739131367,5.420183465348868,High,Stable,HighStable,1994-05-31
1994-06-30,0.11543287327477891,3.254237288135639,5.420183465348868,High,High,HighHigh,1994-06-30
1994-07-31,-2.4238018849007337,4.056795131845842,5.420183465348868,High,High,HighHigh,1994-07-31
1994-08-31,3.2572118472090184,4.851752021563295,2.338060964156234,Stable,High,StableHigh,1994-08-31
1994-09-30,3.4828469786302385,2.4161073825504267,2.338060964156234,Stable,Stable,StableStable,1994-09-30
1994-10-31,-1.8414789528091058,0.8037508372404097,2.338060964156234,Stable,Low,StableLow,1994-10-31
1994-11-30,1.5429453111606373,3.2128514056225352,4.582097779787045,High,High,HighHigh,1994-11-30
1994-12-31,-3.5286172547695394,2.403204272363014,4.582097779787045,High,Stable,HighStable,1994-12-31
1995-01-31,2.2176108805440187,3.1978680879414174,4.582097779787045,High,High,HighHigh,1995-01-31
1995-02-28,2.4850189556071767,3.189368770764165,1.4190245690900352,Low,High,LowHigh,1995-02-28
1995-03-31,3.2147204124006734,2.3856858846917137,1.4190245690900352,Low,Stable,LowStable,1995-03-31
1995-04-30,3.1053459119496862,4.761904761904943,1.4190245690900352,Low,High,LowHigh,1995-04-30
1995-05-31,2.475835931017456,2.3715415019761497,1.1933635088590606,Low,Stable,LowStable,1995-05-31
1995-06-30,3.8647554437028164,2.3668639053255336,1.1933635088590606,Low,Stable,LowStable,1995-06-30
1995-07-31,2.7074861465202993,1.5748031496062096,1.1933635088590606,Low,Stable,LowStable,1995-07-31
1995-08-31,1.907848849136351,2.3591087811272193,3.4027101398568003,Stable,Stable,StableStable,1995-08-31
1995-09-30,1.05483533295756,1.5696533682144298,3.4027101398568003,Stable,Stable,StableStable,1995-09-30
1995-10-31,4.077689243027893,3.1352057478772495,3.4027101398568003,Stable,High,StableHigh,1995-10-31
1995-11-30,1.069917890022376,1.5635179153093572,2.71608411016915,Stable,Stable,StableStable,1995-11-30
1995-12-31,3.6037571488088727,1.56148340923891,2.71608411016915,Stable,Stable,StableStable,1995-12-31
1996-01-31,1.2301449487287286,6.23781676413242,2.71608411016915,Stable,High,StableHigh,1996-01-31
1996-02-29,3.4036329493337014,2.3270846800259446,2.995787278912223,Stable,Stable,StableStable,1996-02-29
1996-03-31,1.409188537901418,3.870967741935484,2.995787278912223,Stable,High,StableHigh,1996-03-31
1996-04-30,0.9350139477218633,4.630225080385808,2.995787278912223,Stable,High,StableHigh,1996-04-30
1996-05-31,0.35484586382790173,2.306213965406878,6.67138970461537,High,Stable,HighStable,1996-05-31
1996-06-30,2.687632809179763,2.3017902813297924,6.67138970461537,High,Stable,HighStable,1996-06-30
1996-07-31,1.5875906366917159,2.2973835354180836,6.67138970461537,High,Stable,HighStable,1996-07-31
1996-08-31,-3.48244113093783,1.5286624203820784,3.5879655096477605,High,Stable,HighStable,1996-08-31
1996-09-30,0.030391031269005886,3.816793893129771,3.5879655096477605,High,High,HighHigh,1996-09-30
1996-10-31,6.020659622590552,3.804692454026633,3.5879655096477605,High,High,HighHigh,1996-10-31
1996-11-30,1.7703341664941918,3.792667509481669,4.1535279521195445,High,High,HighHigh,1996-11-30
1996-12-31,7.128666405944473,3.024574669187189,4.1535279521195445,High,Stable,HighStable,1996-12-31
1997-01-31,-1.217838264069393,2.2627278441232788,4.1535279521195445,High,Stable,HighStable,1997-01-31
1997-02-28,6.077045884579002,2.2584692597238365,2.582257459616538,Stable,Stable,StableStable,1997-02-28
1997-03-31,1.438147131370271,0.7514088916720557,2.582257459616538,Stable,Low,StableLow,1997-03-31
1997-04-30,-4.872855160665457,0.7509386733416343,2.582257459616538,Stable,Low,StableLow,1997-04-30
1997-05-31,5.0935821154179495,0.0,6.648005815365658,High,Low,HighLow,1997-05-31
1997-06-30,6.394030589108302,2.251407129455782,6.648005815365658,High,Stable,HighStable,1997-06-30
1997-07-31,4.986825790452576,1.4981273408240978,6.648005815365658,High,Stable,HighStable,1997-07-31
1997-08-31,6.412007135387832,2.992518703241938,5.0033921317362795,High,Stable,HighStable,1997-08-31
1997-09-30,-5.059134998901693,2.9850746268655017,5.0033921317362795,High,Stable,HighStable,1997-09-30
1997-10-31,5.999683394016153,2.2332506203474796,5.0033921317362795,High,Stable,HighStable,1997-10-31
1997-11-30,-1.3705082253469447,1.4860681114550238,3.4352660500036194,High,Stable,HighStable,1997-11-30
1997-12-31,4.176809737347864,0.7421150278294824,3.4352660500036194,High,Low,HighLow,1997-12-31
