"","X","Return","APINFLATION","APRGDP","phase_GDP","phase_INFLATION","phase","Date","phase_id","Phase"
"1","1994-02-28",2.59854657564413,3.28092959671888,3.88086511124855,"High","High","HighHigh","1994-02-28",9,"HighGDP&HighInflation(9)"
"2","1994-03-31",-2.70682788390452,3.27198364008185,3.88086511124855,"High","High","HighHigh","1994-03-31",9,"HighGDP&HighInflation(9)"
"3","1994-04-30",-4.14746543778801,0.815771583956446,3.88086511124855,"High","Low","HighLow","1994-04-30",7,"HighGDP&LowInflation(7)"
"4","1994-05-31",1.90773322422257,2.44565217391314,5.42018346534887,"High","Stable","HighStable","1994-05-31",8,"HighGDP&StableInflation(8)"
"5","1994-06-30",0.115432873274779,3.25423728813564,5.42018346534887,"High","High","HighHigh","1994-06-30",9,"HighGDP&HighInflation(9)"
"6","1994-07-31",-2.42380188490073,4.05679513184584,5.42018346534887,"High","High","HighHigh","1994-07-31",9,"HighGDP&HighInflation(9)"
"7","1994-08-31",3.25721184720902,4.8517520215633,2.33806096415623,"Stable","High","StableHigh","1994-08-31",6,"StableGDP&HighInflation(6)"
"8","1994-09-30",3.48284697863024,2.41610738255043,2.33806096415623,"Stable","Stable","StableStable","1994-09-30",5,"StableGDPStableInflation(5)"
"9","1994-10-31",-1.84147895280911,0.80375083724041,2.33806096415623,"Stable","Low","StableLow","1994-10-31",4,"StableGDP&LowInflation(4)"
"10","1994-11-30",1.54294531116064,3.21285140562254,4.58209777978704,"High","High","HighHigh","1994-11-30",9,"HighGDP&HighInflation(9)"
"11","1994-12-31",-3.52861725476954,2.40320427236301,4.58209777978704,"High","Stable","HighStable","1994-12-31",8,"HighGDP&StableInflation(8)"
"12","1995-01-31",2.21761088054402,3.19786808794142,4.58209777978704,"High","High","HighHigh","1995-01-31",9,"HighGDP&HighInflation(9)"
"13","1995-02-28",2.48501895560718,3.18936877076416,1.41902456909004,"Low","High","LowHigh","1995-02-28",3,"LowGDP&HighInflation(3)"
"14","1995-03-31",3.21472041240067,2.38568588469171,1.41902456909004,"Low","Stable","LowStable","1995-03-31",2,"LowGDP&StableInflation(2)"
"15","1995-04-30",3.10534591194969,4.76190476190494,1.41902456909004,"Low","High","LowHigh","1995-04-30",3,"LowGDP&HighInflation(3)"
"16","1995-05-31",2.47583593101746,2.37154150197615,1.19336350885906,"Low","Stable","LowStable","1995-05-31",2,"LowGDP&StableInflation(2)"
"17","1995-06-30",3.86475544370282,2.36686390532553,1.19336350885906,"Low","Stable","LowStable","1995-06-30",2,"LowGDP&StableInflation(2)"
"18","1995-07-31",2.7074861465203,1.57480314960621,1.19336350885906,"Low","Stable","LowStable","1995-07-31",2,"LowGDP&StableInflation(2)"
"19","1995-08-31",1.90784884913635,2.35910878112722,3.4027101398568,"Stable","Stable","StableStable","1995-08-31",5,"StableGDPStableInflation(5)"
"20","1995-09-30",1.05483533295756,1.56965336821443,3.4027101398568,"Stable","Stable","StableStable","1995-09-30",5,"StableGDPStableInflation(5)"
"21","1995-10-31",4.07768924302789,3.13520574787725,3.4027101398568,"Stable","High","StableHigh","1995-10-31",6,"StableGDP&HighInflation(6)"
"22","1995-11-30",1.06991789002238,1.56351791530936,2.71608411016915,"Stable","Stable","StableStable","1995-11-30",5,"StableGDPStableInflation(5)"
"23","1995-12-31",3.60375714880887,1.56148340923891,2.71608411016915,"Stable","Stable","StableStable","1995-12-31",5,"StableGDPStableInflation(5)"
"24","1996-01-31",1.23014494872873,6.23781676413242,2.71608411016915,"Stable","High","StableHigh","1996-01-31",6,"StableGDP&HighInflation(6)"
"25","1996-02-29",3.4036329493337,2.32708468002594,2.99578727891222,"Stable","Stable","StableStable","1996-02-29",5,"StableGDPStableInflation(5)"
"26","1996-03-31",1.40918853790142,3.87096774193548,2.99578727891222,"Stable","High","StableHigh","1996-03-31",6,"StableGDP&HighInflation(6)"
"27","1996-04-30",0.935013947721863,4.63022508038581,2.99578727891222,"Stable","High","StableHigh","1996-04-30",6,"StableGDP&HighInflation(6)"
"28","1996-05-31",0.354845863827902,2.30621396540688,6.67138970461537,"High","Stable","HighStable","1996-05-31",8,"HighGDP&StableInflation(8)"
"29","1996-06-30",2.68763280917976,2.30179028132979,6.67138970461537,"High","Stable","HighStable","1996-06-30",8,"HighGDP&StableInflation(8)"
"30","1996-07-31",1.58759063669172,2.29738353541808,6.67138970461537,"High","Stable","HighStable","1996-07-31",8,"HighGDP&StableInflation(8)"
"31","1996-08-31",-3.48244113093783,1.52866242038208,3.58796550964776,"High","Stable","HighStable","1996-08-31",8,"HighGDP&StableInflation(8)"
"32","1996-09-30",0.0303910312690059,3.81679389312977,3.58796550964776,"High","High","HighHigh","1996-09-30",9,"HighGDP&HighInflation(9)"
"33","1996-10-31",6.02065962259055,3.80469245402663,3.58796550964776,"High","High","HighHigh","1996-10-31",9,"HighGDP&HighInflation(9)"
"34","1996-11-30",1.77033416649419,3.79266750948167,4.15352795211954,"High","High","HighHigh","1996-11-30",9,"HighGDP&HighInflation(9)"
"35","1996-12-31",7.12866640594447,3.02457466918719,4.15352795211954,"High","Stable","HighStable","1996-12-31",8,"HighGDP&StableInflation(8)"
"36","1997-01-31",-1.21783826406939,2.26272784412328,4.15352795211954,"High","Stable","HighStable","1997-01-31",8,"HighGDP&StableInflation(8)"
"37","1997-02-28",6.077045884579,2.25846925972384,2.58225745961654,"Stable","Stable","StableStable","1997-02-28",5,"StableGDPStableInflation(5)"
"38","1997-03-31",1.43814713137027,0.751408891672056,2.58225745961654,"Stable","Low","StableLow","1997-03-31",4,"StableGDP&LowInflation(4)"
"39","1997-04-30",-4.87285516066546,0.750938673341634,2.58225745961654,"Stable","Low","StableLow","1997-04-30",4,"StableGDP&LowInflation(4)"
"40","1997-05-31",5.09358211541795,0,6.64800581536566,"High","Low","HighLow","1997-05-31",7,"HighGDP&LowInflation(7)"
"41","1997-06-30",6.3940305891083,2.25140712945578,6.64800581536566,"High","Stable","HighStable","1997-06-30",8,"HighGDP&StableInflation(8)"
"42","1997-07-31",4.98682579045258,1.4981273408241,6.64800581536566,"High","Stable","HighStable","1997-07-31",8,"HighGDP&StableInflation(8)"
"43","1997-08-31",6.41200713538783,2.99251870324194,5.00339213173628,"High","Stable","HighStable","1997-08-31",8,"HighGDP&StableInflation(8)"
"44","1997-09-30",-5.05913499890169,2.9850746268655,5.00339213173628,"High","Stable","HighStable","1997-09-30",8,"HighGDP&StableInflation(8)"
"45","1997-10-31",5.99968339401615,2.23325062034748,5.00339213173628,"High","Stable","HighStable","1997-10-31",8,"HighGDP&StableInflation(8)"
"46","1997-11-30",-1.37050822534694,1.48606811145502,3.43526605000362,"High","Stable","HighStable","1997-11-30",8,"HighGDP&StableInflation(8)"
"47","1997-12-31",4.17680973734786,0.742115027829482,3.43526605000362,"High","Low","HighLow","1997-12-31",7,"HighGDP&LowInflation(7)"
"48","1998-01-31",0.423743026128975,1.48331273176753,3.43526605000362,"High","Stable","HighStable","1998-01-31",8,"HighGDP&StableInflation(8)"
"49","1998-02-28",2.57181028724114,0,3.99791966005752,"High","Low","HighLow","1998-02-28",7,"HighGDP&LowInflation(7)"
"50","1998-03-31",4.62824270053186,0,3.99791966005752,"High","Low","HighLow","1998-03-31",7,"HighGDP&LowInflation(7)"
"51","1998-04-30",5.80637799033135,1.4814814814814,3.99791966005752,"High","Stable","HighStable","1998-04-30",8,"HighGDP&StableInflation(8)"
"52","1998-05-31",0.320616524987494,2.95930949445134,3.70322855230924,"High","Stable","HighStable","1998-05-31",8,"HighGDP&StableInflation(8)"
"53","1998-06-30",-2.69454055004984,1.47601476014773,3.70322855230924,"High","Stable","HighStable","1998-06-30",8,"HighGDP&StableInflation(8)"
"54","1998-07-31",5.47001335864443,2.94840294840278,3.70322855230924,"High","Stable","HighStable","1998-07-31",8,"HighGDP&StableInflation(8)"
"55","1998-08-31",-3.73784604835867,1.47058823529424,5.01026960905817,"High","Low","HighLow","1998-08-31",7,"HighGDP&LowInflation(7)"
"56","1998-09-30",-10.6339407609663,0.734394124846959,5.01026960905817,"High","Low","HighLow","1998-09-30",7,"HighGDP&LowInflation(7)"
"57","1998-10-31",-1.00406274561899,2.9357798165138,5.01026960905817,"High","Stable","HighStable","1998-10-31",8,"HighGDP&StableInflation(8)"
